13:24:57.751391 config: drop-rate=0.00, max-delay=0s, seed=1
17:43:44.923708 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:45.422388 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 5.2ms
17:43:45.429389 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:45.927128 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 500µs
17:43:45.929121 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:46.430245 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 2.5ms
17:43:46.434237 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:46.933781 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 1.5ms
17:43:46.935796 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:47.437474 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 8.7ms
17:43:47.446463 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:47.942157 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 1ms
17:43:47.944159 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:48.201995 [queue=1] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 9ms
17:43:48.203993 [queue=2] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 9.8ms
17:43:48.204992 [queue=3] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 9.1ms
17:43:48.205992 [queue=3] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is dropped
17:43:48.206991 [queue=3] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is dropped
17:43:48.208994 [queue=4] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 6.7ms
17:43:48.209989 [queue=5] packet #2248870275, 127.0.0.1:90 -> 127.0.0.1:63059, sz=7 is delayed for 7.1ms
